==== START logs for container kube-controller-manager of pod kube-system/kube-controller-manager-kind-1-control-plane ====
I1221 23:37:59.470329       1 serving.go:348] Generated self-signed cert in-memory
I1221 23:37:59.841419       1 controllermanager.go:178] Version: v1.25.3
I1221 23:37:59.841445       1 controllermanager.go:180] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
I1221 23:37:59.842377       1 secure_serving.go:210] Serving securely on 127.0.0.1:10257
I1221 23:37:59.842485       1 leaderelection.go:248] attempting to acquire leader lease kube-system/kube-controller-manager...
I1221 23:37:59.842743       1 tlsconfig.go:240] "Starting DynamicServingCertificateController"
I1221 23:37:59.842838       1 dynamic_cafile_content.go:157] "Starting controller" name="request-header::/etc/kubernetes/pki/front-proxy-ca.crt"
I1221 23:37:59.842908       1 dynamic_cafile_content.go:157] "Starting controller" name="client-ca-bundle::/etc/kubernetes/pki/ca.crt"
E1221 23:38:04.035747       1 leaderelection.go:330] error retrieving resource lock kube-system/kube-controller-manager: leases.coordination.k8s.io "kube-controller-manager" is forbidden: User "system:kube-controller-manager" cannot get resource "leases" in API group "coordination.k8s.io" in the namespace "kube-system"
I1221 23:38:07.336639       1 leaderelection.go:258] successfully acquired lease kube-system/kube-controller-manager
I1221 23:38:07.337070       1 event.go:294] "Event occurred" object="kube-system/kube-controller-manager" fieldPath="" kind="Lease" apiVersion="coordination.k8s.io/v1" type="Normal" reason="LeaderElection" message="kind-1-control-plane_49d9ca4f-3ff3-4837-b21d-4f0461abc984 became leader"
I1221 23:38:07.357096       1 shared_informer.go:255] Waiting for caches to sync for tokens
I1221 23:38:07.368438       1 controllermanager.go:603] Started "endpoint"
I1221 23:38:07.368655       1 endpoints_controller.go:182] Starting endpoint controller
I1221 23:38:07.368703       1 shared_informer.go:255] Waiting for caches to sync for endpoint
E1221 23:38:07.379575       1 core.go:92] Failed to start service controller: WARNING: no cloud provider provided, services of type LoadBalancer will fail
W1221 23:38:07.379653       1 controllermanager.go:581] Skipping "service"
W1221 23:38:07.379677       1 core.go:232] configure-cloud-routes is set, but no cloud provider specified. Will not configure cloud provider routes.
W1221 23:38:07.379690       1 controllermanager.go:581] Skipping "route"
I1221 23:38:07.387182       1 controllermanager.go:603] Started "serviceaccount"
I1221 23:38:07.387219       1 serviceaccounts_controller.go:117] Starting service account controller
I1221 23:38:07.387605       1 shared_informer.go:255] Waiting for caches to sync for service account
I1221 23:38:07.394422       1 controllermanager.go:603] Started "ttl"
I1221 23:38:07.394580       1 ttl_controller.go:120] Starting TTL controller
I1221 23:38:07.394643       1 shared_informer.go:255] Waiting for caches to sync for TTL
I1221 23:38:07.401373       1 controllermanager.go:603] Started "persistentvolume-expander"
I1221 23:38:07.401543       1 expand_controller.go:340] Starting expand controller
I1221 23:38:07.401549       1 shared_informer.go:255] Waiting for caches to sync for expand
I1221 23:38:07.407194       1 controllermanager.go:603] Started "clusterrole-aggregation"
I1221 23:38:07.407395       1 clusterroleaggregation_controller.go:194] Starting ClusterRoleAggregator
I1221 23:38:07.407430       1 shared_informer.go:255] Waiting for caches to sync for ClusterRoleAggregator
I1221 23:38:07.433598       1 controllermanager.go:603] Started "namespace"
I1221 23:38:07.433782       1 namespace_controller.go:200] Starting namespace controller
I1221 23:38:07.433819       1 shared_informer.go:255] Waiting for caches to sync for namespace
I1221 23:38:07.444244       1 controllermanager.go:603] Started "job"
I1221 23:38:07.444393       1 job_controller.go:196] Starting job controller
I1221 23:38:07.444427       1 shared_informer.go:255] Waiting for caches to sync for job
I1221 23:38:07.457639       1 shared_informer.go:262] Caches are synced for tokens
I1221 23:38:07.489877       1 controllermanager.go:603] Started "horizontalpodautoscaling"
I1221 23:38:07.489974       1 horizontal.go:168] Starting HPA controller
I1221 23:38:07.489982       1 shared_informer.go:255] Waiting for caches to sync for HPA
I1221 23:38:07.642399       1 certificate_controller.go:112] Starting certificate controller "csrsigning-kubelet-serving"
I1221 23:38:07.642498       1 shared_informer.go:255] Waiting for caches to sync for certificate-csrsigning-kubelet-serving
I1221 23:38:07.642517       1 dynamic_serving_content.go:132] "Starting controller" name="csr-controller::/etc/kubernetes/pki/ca.crt::/etc/kubernetes/pki/ca.key"
I1221 23:38:07.643016       1 certificate_controller.go:112] Starting certificate controller "csrsigning-kubelet-client"
I1221 23:38:07.643103       1 shared_informer.go:255] Waiting for caches to sync for certificate-csrsigning-kubelet-client
I1221 23:38:07.643033       1 certificate_controller.go:112] Starting certificate controller "csrsigning-kube-apiserver-client"
I1221 23:38:07.643184       1 certificate_controller.go:112] Starting certificate controller "csrsigning-legacy-unknown"
I1221 23:38:07.643356       1 shared_informer.go:255] Waiting for caches to sync for certificate-csrsigning-legacy-unknown
I1221 23:38:07.643207       1 dynamic_serving_content.go:132] "Starting controller" name="csr-controller::/etc/kubernetes/pki/ca.crt::/etc/kubernetes/pki/ca.key"
I1221 23:38:07.643059       1 controllermanager.go:603] Started "csrsigning"
I1221 23:38:07.643075       1 dynamic_serving_content.go:132] "Starting controller" name="csr-controller::/etc/kubernetes/pki/ca.crt::/etc/kubernetes/pki/ca.key"
I1221 23:38:07.643241       1 shared_informer.go:255] Waiting for caches to sync for certificate-csrsigning-kube-apiserver-client
I1221 23:38:07.643049       1 dynamic_serving_content.go:132] "Starting controller" name="csr-controller::/etc/kubernetes/pki/ca.crt::/etc/kubernetes/pki/ca.key"
