==== START logs for container kube-controller-manager of pod kube-system/kube-controller-manager-kind-1-control-plane ====
I1221 04:30:58.147269       1 serving.go:348] Generated self-signed cert in-memory
I1221 04:30:58.576131       1 controllermanager.go:178] Version: v1.25.3
I1221 04:30:58.576150       1 controllermanager.go:180] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
I1221 04:30:58.577309       1 secure_serving.go:210] Serving securely on 127.0.0.1:10257
I1221 04:30:58.577311       1 dynamic_cafile_content.go:157] "Starting controller" name="request-header::/etc/kubernetes/pki/front-proxy-ca.crt"
I1221 04:30:58.577523       1 tlsconfig.go:240] "Starting DynamicServingCertificateController"
I1221 04:30:58.577563       1 leaderelection.go:248] attempting to acquire leader lease kube-system/kube-controller-manager...
I1221 04:30:58.577602       1 dynamic_cafile_content.go:157] "Starting controller" name="client-ca-bundle::/etc/kubernetes/pki/ca.crt"
E1221 04:31:02.722081       1 leaderelection.go:330] error retrieving resource lock kube-system/kube-controller-manager: leases.coordination.k8s.io "kube-controller-manager" is forbidden: User "system:kube-controller-manager" cannot get resource "leases" in API group "coordination.k8s.io" in the namespace "kube-system"
I1221 04:31:06.434988       1 leaderelection.go:258] successfully acquired lease kube-system/kube-controller-manager
I1221 04:31:06.435454       1 event.go:294] "Event occurred" object="kube-system/kube-controller-manager" fieldPath="" kind="Lease" apiVersion="coordination.k8s.io/v1" type="Normal" reason="LeaderElection" message="kind-1-control-plane_aa377ecb-ebcf-4131-a87a-54b9075321ff became leader"
I1221 04:31:06.445428       1 shared_informer.go:255] Waiting for caches to sync for tokens
I1221 04:31:06.453744       1 controllermanager.go:603] Started "clusterrole-aggregation"
I1221 04:31:06.454465       1 clusterroleaggregation_controller.go:194] Starting ClusterRoleAggregator
I1221 04:31:06.454511       1 shared_informer.go:255] Waiting for caches to sync for ClusterRoleAggregator
I1221 04:31:06.461476       1 controllermanager.go:603] Started "podgc"
I1221 04:31:06.461673       1 gc_controller.go:99] Starting GC controller
I1221 04:31:06.461730       1 shared_informer.go:255] Waiting for caches to sync for GC
I1221 04:31:06.471677       1 controllermanager.go:603] Started "daemonset"
I1221 04:31:06.471715       1 daemon_controller.go:291] Starting daemon sets controller
I1221 04:31:06.471725       1 shared_informer.go:255] Waiting for caches to sync for daemon sets
I1221 04:31:06.479217       1 controllermanager.go:603] Started "csrcleaner"
I1221 04:31:06.479285       1 cleaner.go:82] Starting CSR cleaner controller
I1221 04:31:06.488244       1 controllermanager.go:603] Started "ephemeral-volume"
I1221 04:31:06.488394       1 controller.go:169] Starting ephemeral volume controller
I1221 04:31:06.488404       1 shared_informer.go:255] Waiting for caches to sync for ephemeral
I1221 04:31:06.497489       1 controllermanager.go:603] Started "deployment"
I1221 04:31:06.497781       1 deployment_controller.go:160] "Starting controller" controller="deployment"
I1221 04:31:06.497816       1 shared_informer.go:255] Waiting for caches to sync for deployment
I1221 04:31:06.507402       1 controllermanager.go:603] Started "cronjob"
I1221 04:31:06.507601       1 cronjob_controllerv2.go:135] "Starting cronjob controller v2"
I1221 04:31:06.507685       1 shared_informer.go:255] Waiting for caches to sync for cronjob
I1221 04:31:06.512980       1 controllermanager.go:603] Started "ttl-after-finished"
I1221 04:31:06.513043       1 ttlafterfinished_controller.go:109] Starting TTL after finished controller
I1221 04:31:06.513056       1 shared_informer.go:255] Waiting for caches to sync for TTL after finished
I1221 04:31:06.520938       1 controllermanager.go:603] Started "pvc-protection"
I1221 04:31:06.521115       1 pvc_protection_controller.go:103] "Starting PVC protection controller"
I1221 04:31:06.521235       1 shared_informer.go:255] Waiting for caches to sync for PVC protection
I1221 04:31:06.527334       1 controllermanager.go:603] Started "pv-protection"
I1221 04:31:06.527403       1 pv_protection_controller.go:79] Starting PV protection controller
I1221 04:31:06.527408       1 shared_informer.go:255] Waiting for caches to sync for PV protection
I1221 04:31:06.546155       1 shared_informer.go:262] Caches are synced for tokens
W1221 04:31:06.810157       1 shared_informer.go:533] resyncPeriod 20h48m11.782783142s is smaller than resyncCheckPeriod 23h27m33.417373337s and the informer has already started. Changing it to 23h27m33.417373337s
I1221 04:31:06.810339       1 resource_quota_monitor.go:218] QuotaMonitor created object count evaluator for ingresses.networking.k8s.io
I1221 04:31:06.810418       1 resource_quota_monitor.go:218] QuotaMonitor created object count evaluator for endpoints
I1221 04:31:06.810431       1 resource_quota_monitor.go:218] QuotaMonitor created object count evaluator for replicasets.apps
I1221 04:31:06.810478       1 resource_quota_monitor.go:218] QuotaMonitor created object count evaluator for daemonsets.apps
I1221 04:31:06.810509       1 resource_quota_monitor.go:218] QuotaMonitor created object count evaluator for cronjobs.batch
I1221 04:31:06.810620       1 resource_quota_monitor.go:218] QuotaMonitor created object count evaluator for rolebindings.rbac.authorization.k8s.io
I1221 04:31:06.810882       1 resource_quota_monitor.go:218] QuotaMonitor created object count evaluator for deployments.apps
I1221 04:31:06.810934       1 resource_quota_monitor.go:218] QuotaMonitor created object count evaluator for podtemplates
I1221 04:31:06.810961       1 resource_quota_monitor.go:218] QuotaMonitor created object count evaluator for roles.rbac.authorization.k8s.io
I1221 04:31:06.810980       1 resource_quota_monitor.go:218] QuotaMonitor created object count evaluator for leases.coordination.k8s.io
I1221 04:31:06.811005       1 resource_quota_monitor.go:218] QuotaMonitor created object count evaluator for limitranges
I1221 04:31:06.811071       1 resource_quota_monitor.go:218] QuotaMonitor created object count evaluator for poddisruptionbudgets.policy
W1221 04:31:06.811091       1 shared_informer.go:533] resyncPeriod 16h31m7.615099555s is smaller than resyncCheckPeriod 23h27m33.417373337s and the informer has already started. Changing it to 23h27m33.417373337s
I1221 04:31:06.811119       1 resource_quota_monitor.go:218] QuotaMonitor created object count evaluator for serviceaccounts
I1221 04:31:06.811142       1 resource_quota_monitor.go:218] QuotaMonitor created object count evaluator for statefulsets.apps
I1221 04:31:06.811167       1 resource_quota_monitor.go:218] QuotaMonitor created object count evaluator for networkpolicies.networking.k8s.io
I1221 04:31:06.811184       1 resource_quota_monitor.go:218] QuotaMonitor created object count evaluator for controllerrevisions.apps
I1221 04:31:06.811212       1 resource_quota_monitor.go:218] QuotaMonitor created object count evaluator for horizontalpodautoscalers.autoscaling
I1221 04:31:06.811228       1 resource_quota_monitor.go:218] QuotaMonitor created object count evaluator for jobs.batch
I1221 04:31:06.811247       1 resource_quota_monitor.go:218] QuotaMonitor created object count evaluator for csistoragecapacities.storage.k8s.io
I1221 04:31:06.811354       1 resource_quota_monitor.go:218] QuotaMonitor created object count evaluator for endpointslices.discovery.k8s.io
I1221 04:31:06.811378       1 controllermanager.go:603] Started "resourcequota"
I1221 04:31:06.811590       1 resource_quota_controller.go:277] Starting resource quota controller
I1221 04:31:06.811599       1 shared_informer.go:255] Waiting for caches to sync for resource quota
I1221 04:31:06.811612       1 resource_quota_monitor.go:295] QuotaMonitor running
I1221 04:31:06.983978       1 node_ipam_controller.go:91] Sending events to api server.
I1221 04:31:16.995962       1 range_allocator.go:76] Sending events to api server.
I1221 04:31:16.996452       1 range_allocator.go:110] No Secondary Service CIDR provided. Skipping filtering out secondary service addresses.
I1221 04:31:16.996555       1 controllermanager.go:603] Started "nodeipam"
I1221 04:31:16.996673       1 node_ipam_controller.go:154] Starting ipam controller
I1221 04:31:16.996685       1 shared_informer.go:255] Waiting for caches to sync for node
E1221 04:31:16.998483       1 core.go:218] failed to start cloud node lifecycle controller: no cloud provider provided
W1221 04:31:16.998525       1 controllermanager.go:581] Skipping "cloud-node-lifecycle"
I1221 04:31:17.000681       1 node_lifecycle_controller.go:497] Controller will reconcile labels.
I1221 04:31:17.000742       1 controllermanager.go:603] Started "nodelifecycle"
I1221 04:31:17.000848       1 node_lifecycle_controller.go:532] Sending events to api server.
I1221 04:31:17.000915       1 node_lifecycle_controller.go:543] Starting node controller
I1221 04:31:17.000932       1 shared_informer.go:255] Waiting for caches to sync for taint
I1221 04:31:17.007824       1 controllermanager.go:603] Started "persistentvolume-binder"
I1221 04:31:17.008110       1 pv_controller_base.go:318] Starting persistent volume controller
I1221 04:31:17.009915       1 shared_informer.go:255] Waiting for caches to sync for persistent volume
I1221 04:31:17.015359       1 controllermanager.go:603] Started "persistentvolume-expander"
I1221 04:31:17.015507       1 expand_controller.go:340] Starting expand controller
I1221 04:31:17.015519       1 shared_informer.go:255] Waiting for caches to sync for expand
I1221 04:31:17.022425       1 controllermanager.go:603] Started "job"
I1221 04:31:17.022685       1 job_controller.go:196] Starting job controller
I1221 04:31:17.022696       1 shared_informer.go:255] Waiting for caches to sync for job
I1221 04:31:17.030247       1 controllermanager.go:603] Started "statefulset"
I1221 04:31:17.030405       1 stateful_set.go:152] Starting stateful set controller
I1221 04:31:17.030456       1 shared_informer.go:255] Waiting for caches to sync for stateful set
I1221 04:31:17.033634       1 controllermanager.go:603] Started "csrsigning"
I1221 04:31:17.033789       1 certificate_controller.go:112] Starting certificate controller "csrsigning-kubelet-serving"
I1221 04:31:17.033815       1 shared_informer.go:255] Waiting for caches to sync for certificate-csrsigning-kubelet-serving
I1221 04:31:17.033790       1 certificate_controller.go:112] Starting certificate controller "csrsigning-kube-apiserver-client"
I1221 04:31:17.033903       1 shared_informer.go:255] Waiting for caches to sync for certificate-csrsigning-kube-apiserver-client
I1221 04:31:17.033930       1 certificate_controller.go:112] Starting certificate controller "csrsigning-kubelet-client"
I1221 04:31:17.033943       1 shared_informer.go:255] Waiting for caches to sync for certificate-csrsigning-kubelet-client
I1221 04:31:17.033960       1 dynamic_serving_content.go:132] "Starting controller" name="csr-controller::/etc/kubernetes/pki/ca.crt::/etc/kubernetes/pki/ca.key"
I1221 04:31:17.033971       1 dynamic_serving_content.go:132] "Starting controller" name="csr-controller::/etc/kubernetes/pki/ca.crt::/etc/kubernetes/pki/ca.key"
I1221 04:31:17.034142       1 dynamic_serving_content.go:132] "Starting controller" name="csr-controller::/etc/kubernetes/pki/ca.crt::/etc/kubernetes/pki/ca.key"
I1221 04:31:17.034483       1 certificate_controller.go:112] Starting certificate controller "csrsigning-legacy-unknown"
I1221 04:31:17.034595       1 shared_informer.go:255] Waiting for caches to sync for certificate-csrsigning-legacy-unknown
I1221 04:31:17.034618       1 dynamic_serving_content.go:132] "Starting controller" name="csr-controller::/etc/kubernetes/pki/ca.crt::/etc/kubernetes/pki/ca.key"
E1221 04:31:17.041664       1 core.go:92] Failed to start service controller: WARNING: no cloud provider provided, services of type LoadBalancer will fail
