==== START logs for container forwarder-vpp of pod nsm-system/forwarder-vpp-8kvg9 ====
Dec 21 07:29:22.951[37m [TRAC] [id:4f6b8082-c721-4c33-873a-60308a24a972] [type:networkService] [0m(1) ⎆ sdk/pkg/networkservice/common/updatepath/updatePathServer.Close()
Dec 21 07:29:22.951[37m [TRAC] [id:4f6b8082-c721-4c33-873a-60308a24a972] [type:networkService] [0m(1.1)   close={"id":"4f6b8082-c721-4c33-873a-60308a24a972","network_service":"my-vl3-network","mechanism":{"cls":"LOCAL","type":"KERNEL","parameters":{"inodeURL":"inode://4/4026535856","name":"nsm-1"}},"context":{"ip_context":{"src_ip_addrs":["172.16.0.2/32"],"dst_ip_addrs":["172.16.0.0/32"],"src_routes":[{"prefix":"172.16.0.0/32","nextHop":"172.16.0.0"},{"prefix":"172.16.0.0/24","nextHop":"172.16.0.0"},{"prefix":"172.16.0.0/16","nextHop":"172.16.0.0"}],"dst_routes":[{"prefix":"172.16.0.2/32"}],"excluded_prefixes":["10.96.0.0/16","10.244.0.0/16"]},"dns_context":{"configs":[{"dns_server_ips":["172.16.0.1"]},{"dns_server_ips":["10.96.0.10"],"search_domains":["vl3-test.svc.cluster.local","svc.cluster.local","cluster.local"]}]},"MTU":9000},"labels":{"dnsName":"ubuntu","nodeName":"kind-1-control-plane","podName":"ubuntu-deployment-7b8975b5d6-qrwf2"},"path":{"index":1,"path_segments":[{"name":"ubuntu-deployment-7b8975b5d6-qrwf2","id":"ubuntu-deployment-7b8975b5d6-qrwf2-0","token":"eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJzcGlmZmU6Ly9uc20uY2x1c3RlcjEvbnMvdmwzLXRlc3QvcG9kL3VidW50dS1kZXBsb3ltZW50LTdiODk3NWI1ZDYtcXJ3ZjIiLCJhdWQiOlsic3BpZmZlOi8vbnNtLmNsdXN0ZXIxL25zL25zbS1zeXN0ZW0vcG9kL25zbWdyLWtxbTliIl0sImV4cCI6MTY3MTYwODM2Mn0.o_p1DCCavz-ITgm9YwJ9dUowx0VlySdVQ5Xibso2OEZf0O83sSg3MteTaMQt9eb6r7tTvjEP6sVFKOe8Bbow_g","expires":{"seconds":1671608362,"nanos":929922221}},{"name":"nsmgr-kqm9b","id":"4f6b8082-c721-4c33-873a-60308a24a972","token":"eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJzcGlmZmU6Ly9uc20uY2x1c3RlcjEvbnMvbnNtLXN5c3RlbS9wb2QvbnNtZ3Ita3FtOWIiLCJhdWQiOlsic3BpZmZlOi8vbnNtLmNsdXN0ZXIxL25zL3ZsMy10ZXN0L3BvZC91YnVudHUtZGVwbG95bWVudC03Yjg5NzViNWQ2LXFyd2YyIl0sImV4cCI6MTY3MTYwODM2Mn0.804F47G0P2BougTLPAZczAsNwDHOWxWVPeqQUS-sELNSnUbulSzer7_dqgoOR3Y8799d_Q3UpU04taS7KjIdtw","expires":{"seconds":1671608362,"nanos":932054257}},{"name":"forwarder-vpp-8kvg9","id":"016537df-66b4-4799-9cc8-9cfc83717a45","token":"eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJzcGlmZmU6Ly9uc20uY2x1c3RlcjEvbnMvbnNtLXN5c3RlbS9wb2QvZm9yd2FyZGVyLXZwcC04a3ZnOSIsImF1ZCI6WyJzcGlmZmU6Ly9uc20uY2x1c3RlcjEvbnMvbnMtZG5zLXZsMy9wb2QvbnNlLXZsMy12cHAtNWQ5Nzc0NTg4OC1zOHBybSJdLCJleHAiOjE2NzE2MDgzNjB9.VvV45nJSZLVxXd6VE6s5nGba_Cu4jKGm9f64vrwaENIhN9xO-9sdCMikq0fxn9N_Fb9fUd80TFvHC883S5JOPw","expires":{"seconds":1671608360,"nanos":552222643},"metrics":{"client_drops":"0","client_rx_bytes":"0","client_rx_packets":"0","client_tx_bytes":"0","client_tx_packets":"0","server_drops":"0","server_rx_bytes":"0","server_rx_packets":"0","server_tx_bytes":"0","server_tx_packets":"0"}},{"name":"nse-vl3-vpp-5d97745888-s8prm","id":"d2a0eda7-26b2-4a28-b7eb-50584016452d","token":"eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJzcGlmZmU6Ly9uc20uY2x1c3RlcjEvbnMvbnMtZG5zLXZsMy9wb2QvbnNlLXZsMy12cHAtNWQ5Nzc0NTg4OC1zOHBybSIsImF1ZCI6WyJzcGlmZmU6Ly9uc20uY2x1c3RlcjEvbnMvbnNtLXN5c3RlbS9wb2QvZm9yd2FyZGVyLXZwcC04a3ZnOSJdLCJleHAiOjE2NzE2MDgzNjB9.zKptPYLfB9Mmk_hKTc1u7F_bEu530tn_V2E4gFwBy274VxAxvnAJCzIwvIa6z2PlwLZQ56Q_a12uhgxFU_9XDA","expires":{"seconds":1671608360,"nanos":554438924}}]},"network_service_endpoint_name":"nse-vl3-vpp-5d97745888-s8prm","payload":"IP"}
Dec 21 07:29:22.951[37m [TRAC] [id:4f6b8082-c721-4c33-873a-60308a24a972] [type:networkService] [0m(1.2)   close-diff={"id":"016537df-66b4-4799-9cc8-9cfc83717a45","path":{"index":2}}
Dec 21 07:29:22.951[37m [TRAC] [id:016537df-66b4-4799-9cc8-9cfc83717a45] [type:networkService] [0m(2)  ⎆ sdk/pkg/networkservice/common/begin/beginServer.Close()
Dec 21 07:29:22.951[37m [TRAC] [id:016537df-66b4-4799-9cc8-9cfc83717a45] [type:networkService] [0m(2.1)    close-diff={"path":{"path_segments":{"0":{"expires":{"nanos":999481101,"seconds":1671608359},"token":"eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJzcGlmZmU6Ly9uc20uY2x1c3RlcjEvbnMvdmwzLXRlc3QvcG9kL3VidW50dS1kZXBsb3ltZW50LTdiODk3NWI1ZDYtcXJ3ZjIiLCJhdWQiOlsic3BpZmZlOi8vbnNtLmNsdXN0ZXIxL25zL25zbS1zeXN0ZW0vcG9kL25zbWdyLWtxbTliIl0sImV4cCI6MTY3MTYwODM1OX0.D6zoLIV4K2dehoyGr6oB-OzRYxoUwGeXnQK3u8kIuOhHDKVfR3av4foCU4xaedzzqpko3PLZx1XwF6mhAk33RQ"},"1":{"expires":{"nanos":44799590,"seconds":1671608360},"token":"eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJzcGlmZmU6Ly9uc20uY2x1c3RlcjEvbnMvbnNtLXN5c3RlbS9wb2QvbnNtZ3Ita3FtOWIiLCJhdWQiOlsic3BpZmZlOi8vbnNtLmNsdXN0ZXIxL25zL25zbS1zeXN0ZW0vcG9kL2ZvcndhcmRlci12cHAtOGt2ZzkiXSwiZXhwIjoxNjcxNjA4MzYwfQ.FmGXKYnVISPONYTcTre9p3JYoDtR09_typhcl2XL_F7xAADdKfbN17EY1TDdbK-Okv8R8YVE1d0c28-AgQkDTg"}}}}
Dec 21 07:29:22.952[37m [TRAC] [id:016537df-66b4-4799-9cc8-9cfc83717a45] [type:networkService] [0m(3)   ⎆ sdk/pkg/networkservice/common/updatetoken/updateTokenServer.Close()
Dec 21 07:29:22.952[37m [TRAC] [id:016537df-66b4-4799-9cc8-9cfc83717a45] [type:networkService] [0m(3.1)     close-diff={"path":{"path_segments":{"1":{"expires":{"nanos":950982071,"seconds":1671608362},"token":"eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJzcGlmZmU6Ly9uc20uY2x1c3RlcjEvbnMvbnNtLXN5c3RlbS9wb2QvbnNtZ3Ita3FtOWIiLCJhdWQiOlsic3BpZmZlOi8vbnNtLmNsdXN0ZXIxL25zL25zbS1zeXN0ZW0vcG9kL2ZvcndhcmRlci12cHAtOGt2ZzkiXSwiZXhwIjoxNjcxNjA4MzYyfQ.4JsLBV9RBs-otwXdOWJFUaIERHmpKqF62pdJdyfbeBVFkOQSrAH8VqVUWRTVP8SAVDXA27t5aGRc8I7KdFbOxA"},"2":{"expires":{"nanos":952090640,"seconds":1671608362},"token":"eyJhbGciOiJFUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiJzcGlmZmU6Ly9uc20uY2x1c3RlcjEvbnMvbnNtLXN5c3RlbS9wb2QvZm9yd2FyZGVyLXZwcC04a3ZnOSIsImF1ZCI6WyJzcGlmZmU6Ly9uc20uY2x1c3RlcjEvbnMvbnNtLXN5c3RlbS9wb2QvbnNtZ3Ita3FtOWIiXSwiZXhwIjoxNjcxNjA4MzYyfQ.BF_wf_i2SYsS9Kg3nPfQsDGVXIm9aF2I-CRnd0fQMhvG1vN-UEBEoesNAq4XnVtW4_0PGXfvZ9ihpBsJVSNXYA"}}}}
Dec 21 07:29:22.952[37m [TRAC] [id:016537df-66b4-4799-9cc8-9cfc83717a45] [type:networkService] [0m(4)    ⎆ sdk/pkg/networkservice/common/authorize/authorizeServer.Close()
Dec 21 07:29:22.954[37m [TRAC] [id:016537df-66b4-4799-9cc8-9cfc83717a45] [type:networkService] [0m(5)     ⎆ sdk/pkg/networkservice/utils/metadata/metadataServer.Close()
Dec 21 07:29:22.954[37m [DEBU] [id:016537df-66b4-4799-9cc8-9cfc83717a45] [connID:016537df-66b4-4799-9cc8-9cfc83717a45] [metadata:server] [type:networkService] [0m(5.1)       metadata deleted
Dec 21 07:29:22.954[37m [TRAC] [id:016537df-66b4-4799-9cc8-9cfc83717a45] [type:networkService] [0m(6)      ⎆ sdk/pkg/networkservice/common/timeout/timeoutServer.Close()
Dec 21 07:29:22.954[37m [TRAC] [id:016537df-66b4-4799-9cc8-9cfc83717a45] [type:networkService] [0m(7)       ⎆ sdk/pkg/networkservice/common/monitor/monitorServer.Close()
Dec 21 07:29:22.954[37m [TRAC] [id:016537df-66b4-4799-9cc8-9cfc83717a45] [type:networkService] [0m(8)        ⎆ sdk/pkg/networkservice/common/trimpath/trimpathServer.Close()
