==== START logs for container forwarder-vpp of pod nsm-system/forwarder-vpp-lglmz ====
Dec 22 00:24:33.165[37m [TRAC] [id:68d03060-8c45-4779-b483-f5a7ce0a94f8] [type:networkService] [0m(69.1)                                                                       request-diff={"mechanism_preferences":{"+3":{"cls":"REMOTE","type":"IPSEC","parameters":{"src_ip":"172.18.0.2","src_port":"4500","src_public_key":"MIICrzCCAZegAwIBAgIRAdlW6w9Aw2cPqgizPlPgMrwwDQYJKoZIhvcNAQELBQAwETEPMA0GA1UEAxMGY2xpZW50MB4XDTIyMTIyMjAwMjQzM1oXDTIyMTIyMjAwMjkzM1owETEPMA0GA1UEAxMGY2xpZW50MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA60IKALMNfBTQ0qorGBXZxymooTY+m8BLLpqlwmnzUCQ12xwHqkAcQJIvm/yhvd+qtChDNOw6pLoJA6PGXEeGqsikWvT3083XMKFmQ/ezv13kBBJbHgsy9Exf+97a9sA+yPbXRyaP2zkj9Hqj23K9BFGCl2gHGo9hsDVZZc66VaFABQFRKwkxb1WymXp+l+9sWPzaUAEvy3aqmuTSzGbTFMO22IneEhmH3QLmZzwmEeUNfXcZ0wDZV8EjamcdhLZNp1lF2WH8UWfISMDRmoFS4rDfCK2n0su9HoI6BI8w/K4jKaOIHGeohMwwISg4zFwHU+qqgOnB2YLHcP0q/zPwoQIDAQABowIwADANBgkqhkiG9w0BAQsFAAOCAQEAnPIo8zD8KFq+MqBfiUAfTpSO2jF06h414IDm/5+DAmUCaPCpZfl8uDXOW2pLEIzsv1XJybH/+c5vuNEAzq3OJVztx2KlE0H8f465yt1KH5JEFSNXeQp6jUXXzfSc/tCWE+fNBRqqEGSGSw3bqfeJqyaWteGyYIaGNW8HCQpQh+zKgTfDE+OqlLOnB5tBMRzFZy2JGFWMTLzs1M94hig/kPey3DwtKEm+pFJOQoCOdB5aCBwTdJgLoglN8Wr4OzeTk6JyZaceqnTnBIsx0lk/lVTycI+TMpiKYtMuKQDZqMkZi9v3fB7beVTgyX2j/RayiKhiSKv81JC4FTUiMTrzHQ=="}}}}
Dec 22 00:24:33.165[37m [TRAC] [id:68d03060-8c45-4779-b483-f5a7ce0a94f8] [type:networkService] [0m(70)                                                                      ⎆ sdk-vpp/pkg/networkservice/mechanisms/ipsec/mtu/mtuClient.Request()
Dec 22 00:24:33.166[37m [TRAC] [id:68d03060-8c45-4779-b483-f5a7ce0a94f8] [type:networkService] [0m(70.1)                                                                        request-diff={"mechanism_preferences":{"3":{"parameters":{"+MTU":"1419"}}}}
Dec 22 00:24:33.166[37m [TRAC] [id:68d03060-8c45-4779-b483-f5a7ce0a94f8] [type:networkService] [0m(71)                                                                       ⎆ sdk/pkg/networkservice/core/next/nextClient.Request()
Dec 22 00:24:33.166[37m [TRAC] [id:68d03060-8c45-4779-b483-f5a7ce0a94f8] [type:networkService] [0m(72)                                                                        ⎆ sdk-vpp/pkg/networkservice/mechanisms/vlan/mtu/mtuClient.Request()
Dec 22 00:24:33.166[37m [TRAC] [id:68d03060-8c45-4779-b483-f5a7ce0a94f8] [type:networkService] [0m(73)                                                                         ⎆ sdk-vpp/pkg/networkservice/mechanisms/vlan/l2vtr/l2vtrClient.Request()
Dec 22 00:24:33.166[37m [TRAC] [id:68d03060-8c45-4779-b483-f5a7ce0a94f8] [type:networkService] [0m(74)                                                                          ⎆ sdk-vpp/pkg/networkservice/mechanisms/vlan/vlanClient.Request()
Dec 22 00:24:33.167[37m [TRAC] [id:68d03060-8c45-4779-b483-f5a7ce0a94f8] [type:networkService] [0m(74.1)                                                                            request-diff={"mechanism_preferences":{"+4":{"cls":"REMOTE","type":"VLAN"}}}
Dec 22 00:24:33.167[37m [TRAC] [id:68d03060-8c45-4779-b483-f5a7ce0a94f8] [type:networkService] [0m(75)                                                                           ⎆ sdk/pkg/networkservice/common/filtermechanisms/filterMechanismsClient.Request()
Dec 22 00:24:33.167[37m [TRAC] [id:68d03060-8c45-4779-b483-f5a7ce0a94f8] [type:networkService] [0m(75.1)                                                                             request-diff={"mechanism_preferences":{"-2":{"cls":"REMOTE","type":"WIREGUARD","parameters":{"MTU":"1440","src_ip":"172.18.0.2","src_port":"51820","src_public_key":"Crr3axwr/QDeknb0+meScsUVbfzWUrwrwqLn+XPZmzY="}},"-3":{"cls":"REMOTE","type":"IPSEC","parameters":{"MTU":"1419","src_ip":"172.18.0.2","src_port":"4500","src_public_key":"MIICrzCCAZegAwIBAgIRAdlW6w9Aw2cPqgizPlPgMrwwDQYJKoZIhvcNAQELBQAwETEPMA0GA1UEAxMGY2xpZW50MB4XDTIyMTIyMjAwMjQzM1oXDTIyMTIyMjAwMjkzM1owETEPMA0GA1UEAxMGY2xpZW50MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA60IKALMNfBTQ0qorGBXZxymooTY+m8BLLpqlwmnzUCQ12xwHqkAcQJIvm/yhvd+qtChDNOw6pLoJA6PGXEeGqsikWvT3083XMKFmQ/ezv13kBBJbHgsy9Exf+97a9sA+yPbXRyaP2zkj9Hqj23K9BFGCl2gHGo9hsDVZZc66VaFABQFRKwkxb1WymXp+l+9sWPzaUAEvy3aqmuTSzGbTFMO22IneEhmH3QLmZzwmEeUNfXcZ0wDZV8EjamcdhLZNp1lF2WH8UWfISMDRmoFS4rDfCK2n0su9HoI6BI8w/K4jKaOIHGeohMwwISg4zFwHU+qqgOnB2YLHcP0q/zPwoQIDAQABowIwADANBgkqhkiG9w0BAQsFAAOCAQEAnPIo8zD8KFq+MqBfiUAfTpSO2jF06h414IDm/5+DAmUCaPCpZfl8uDXOW2pLEIzsv1XJybH/+c5vuNEAzq3OJVztx2KlE0H8f465yt1KH5JEFSNXeQp6jUXXzfSc/tCWE+fNBRqqEGSGSw3bqfeJqyaWteGyYIaGNW8HCQpQh+zKgTfDE+OqlLOnB5tBMRzFZy2JGFWMTLzs1M94hig/kPey3DwtKEm+pFJOQoCOdB5aCBwTdJgLoglN8Wr4OzeTk6JyZaceqnTnBIsx0lk/lVTycI+TMpiKYtMuKQDZqMkZi9v3fB7beVTgyX2j/RayiKhiSKv81JC4FTUiMTrzHQ=="}},"-4":{"cls":"REMOTE","type":"VLAN"}}}
Dec 22 00:24:33.167[37m [TRAC] [id:68d03060-8c45-4779-b483-f5a7ce0a94f8] [type:networkService] [0m(76)                                                                            ⎆ sdk/pkg/networkservice/common/mechanismpriority/mechanismPriorityClient.Request()
