==== START logs for container coredns of pod kube-system/coredns-6d4b75cb6d-2fdcj ====
[INFO] plugin/ready: Still waiting on: "kubernetes"
.:53
[INFO] plugin/reload: Running configuration MD5 = db32ca3650231d74073ff4cf814959a7
CoreDNS-1.8.6
linux/amd64, go1.17.1, 13a9191
[INFO] Reloading
[INFO] plugin/health: Going into lameduck mode for 5s
[INFO] plugin/reload: Running configuration MD5 = bc01953dbef007fb87b1d2d15ca53ab8
[INFO] Reloading complete
[ERROR] plugin/errors: 2 security.ubuntu.com. AAAA: read tcp 10.244.0.3:42556->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 archive.ubuntu.com. A: read tcp 10.244.0.3:42550->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 storage.googleapis.com. A: read tcp 10.244.0.3:44666->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 security.ubuntu.com. A: read tcp 10.244.0.3:60796->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 security.ubuntu.com. AAAA: read tcp 10.244.0.3:60794->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 metadata.google.internal. AAAA: read tcp 10.244.0.3:37490->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 archive.ubuntu.com. AAAA: read tcp 10.244.0.3:46318->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 archive.ubuntu.com. A: read tcp 10.244.0.3:33590->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 _http._tcp.archive.ubuntu.com. SRV: read tcp 10.244.0.3:53104->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 security.ubuntu.com. AAAA: read tcp 10.244.0.3:53338->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 archive.ubuntu.com. AAAA: read tcp 10.244.0.3:59782->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 archive.ubuntu.com. A: read tcp 10.244.0.3:59784->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 metadata.google.internal. A: read tcp 10.244.0.3:39346->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.3:44070->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.3:46108->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.3:47230->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.3:47410->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.3:48330->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.3:49404->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.3:50530->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.3:52726->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 zipkin.istio-system. A: read tcp 10.244.0.3:53836->172.18.0.1:53: i/o timeout
