==== START logs for container coredns of pod kube-system/coredns-6d4b75cb6d-hg62f ====
[INFO] plugin/ready: Still waiting on: "kubernetes"
.:53
[INFO] plugin/reload: Running configuration MD5 = db32ca3650231d74073ff4cf814959a7
CoreDNS-1.8.6
linux/amd64, go1.17.1, 13a9191
[INFO] Reloading
[INFO] plugin/health: Going into lameduck mode for 5s
[INFO] plugin/reload: Running configuration MD5 = bc01953dbef007fb87b1d2d15ca53ab8
[INFO] Reloading complete
[ERROR] plugin/errors: 2 archive.ubuntu.com. AAAA: read tcp 10.244.0.2:47812->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 security.ubuntu.com. A: read tcp 10.244.0.2:47814->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 storage.googleapis.com. AAAA: read tcp 10.244.0.2:49936->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 archive.ubuntu.com. AAAA: read tcp 10.244.0.2:37822->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 archive.ubuntu.com. A: read tcp 10.244.0.2:37820->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 storage.googleapis.com. AAAA: read tcp 10.244.0.2:38720->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 storage.googleapis.com. A: read tcp 10.244.0.2:38722->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 metadata.google.internal. A: read tcp 10.244.0.2:42760->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 _http._tcp.archive.ubuntu.com. SRV: read tcp 10.244.0.2:51570->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 _http._tcp.security.ubuntu.com. SRV: read tcp 10.244.0.2:51568->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 archive.ubuntu.com. A: read tcp 10.244.0.2:51582->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 security.ubuntu.com. A: read tcp 10.244.0.2:51810->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 _http._tcp.security.ubuntu.com. SRV: read tcp 10.244.0.2:51808->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 security.ubuntu.com. AAAA: read tcp 10.244.0.2:51806->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 _http._tcp.archive.ubuntu.com. SRV: read tcp 10.244.0.2:52350->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 security.ubuntu.com. AAAA: read tcp 10.244.0.2:38858->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 archive.ubuntu.com. AAAA: read tcp 10.244.0.2:38854->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 security.ubuntu.com. A: read tcp 10.244.0.2:38852->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 storage.googleapis.com. A: read tcp 10.244.0.2:40166->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 storage.googleapis.com. AAAA: read tcp 10.244.0.2:40168->172.18.0.1:53: i/o timeout
[ERROR] plugin/errors: 2 _http._tcp.security.ubuntu.com. SRV: read tcp 10.244.0.2:58366->172.18.0.1:53: i/o timeout
