==== START logs for container kube-controller-manager of pod kube-system/kube-controller-manager-kind-1-control-plane ====
I1123 05:41:13.714768       1 serving.go:348] Generated self-signed cert in-memory
I1123 05:41:14.172001       1 controllermanager.go:180] Version: v1.24.0
I1123 05:41:14.172049       1 controllermanager.go:182] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
I1123 05:41:14.174504       1 dynamic_cafile_content.go:157] "Starting controller" name="request-header::/etc/kubernetes/pki/front-proxy-ca.crt"
I1123 05:41:14.174525       1 dynamic_cafile_content.go:157] "Starting controller" name="client-ca-bundle::/etc/kubernetes/pki/ca.crt"
I1123 05:41:14.175037       1 secure_serving.go:210] Serving securely on 127.0.0.1:10257
I1123 05:41:14.175158       1 tlsconfig.go:240] "Starting DynamicServingCertificateController"
I1123 05:41:14.175384       1 leaderelection.go:248] attempting to acquire leader lease kube-system/kube-controller-manager...
E1123 05:41:19.176523       1 leaderelection.go:330] error retrieving resource lock kube-system/kube-controller-manager: Get "https://172.18.0.3:6443/apis/coordination.k8s.io/v1/namespaces/kube-system/leases/kube-controller-manager?timeout=5s": net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
I1123 05:41:22.370690       1 leaderelection.go:258] successfully acquired lease kube-system/kube-controller-manager
I1123 05:41:22.371027       1 event.go:294] "Event occurred" object="kube-system/kube-controller-manager" fieldPath="" kind="Lease" apiVersion="coordination.k8s.io/v1" type="Normal" reason="LeaderElection" message="kind-1-control-plane_1ee5c8f6-ce55-4089-a175-63d8f7413982 became leader"
I1123 05:41:22.478219       1 shared_informer.go:255] Waiting for caches to sync for tokens
E1123 05:41:22.489333       1 core.go:91] Failed to start service controller: WARNING: no cloud provider provided, services of type LoadBalancer will fail
W1123 05:41:22.489373       1 controllermanager.go:571] Skipping "service"
I1123 05:41:22.499358       1 controllermanager.go:593] Started "ttl-after-finished"
I1123 05:41:22.499402       1 ttlafterfinished_controller.go:109] Starting TTL after finished controller
I1123 05:41:22.499427       1 shared_informer.go:255] Waiting for caches to sync for TTL after finished
I1123 05:41:22.509390       1 controllermanager.go:593] Started "serviceaccount"
I1123 05:41:22.509557       1 serviceaccounts_controller.go:117] Starting service account controller
I1123 05:41:22.509589       1 shared_informer.go:255] Waiting for caches to sync for service account
I1123 05:41:22.519489       1 controllermanager.go:593] Started "ttl"
I1123 05:41:22.519624       1 ttl_controller.go:121] Starting TTL controller
I1123 05:41:22.519644       1 shared_informer.go:255] Waiting for caches to sync for TTL
I1123 05:41:22.563604       1 resource_quota_monitor.go:233] QuotaMonitor created object count evaluator for endpointslices.discovery.k8s.io
I1123 05:41:22.563713       1 resource_quota_monitor.go:233] QuotaMonitor created object count evaluator for statefulsets.apps
